"","V1","V2"
"776","2019/04/13","15"
"777","2019/04/14","12"
"778","2019/04/17","18"
"779","2019/04/18","18"
"780","2019/04/19","12"
"781","2019/04/24","21"
"782","2019/04/30","15"
"783","2019/05/18","12"
"784","2019/05/17","21"
"785","2019/05/20","18"
"786","2019/05/21","12"
"787","2019/05/22","21"
"788","2019/05/23","21"
"789","2019/05/24","15"
"790","2019/05/25","21"
"791","2019/05/26","18"
"792","2019/05/27","15"
"793","2019/05/27","21"
"794","2019/05/29","12"
"795","2019/05/02","12"
"796","2019/05/05","21"
"797","2019/05/07","18"
"798","2019/05/08","18"
"799","2019/06/15","18"
"800","2019/06/21","21"
"801","2019/08/11","18"
"802","2019/09/05","06"
"803","2019/09/05","12"
"804","2020/12/23","21"
"805","2020/01/10","15"
"806","2020/01/11","12"
"807","2020/02/05","18"
"808","2020/02/06","12"
"809","2020/03/19","00"
"810","2020/03/28","18"
"811","2020/03/31","12"
"812","2020/03/03","00"
"813","2020/04/12","12"
"814","2020/04/13","12"
"815","2020/04/19","18"
"816","2020/04/22","21"
"817","2020/04/23","12"
"818","2020/04/09","00"
"819","2020/05/16","15"
"820","2020/05/22","21"
"821","2020/05/23","15"
"822","2020/05/25","18"
"823","2020/06/24","12"
"824","2020/06/08","21"
"825","2020/07/08","21"
"826","2020/08/10","15"
"827","2020/08/14","18"
"828","2020/08/03","21"
"829","2020/09/17","12"
"830","2021/10/10","21"
"831","2021/10/12","21"
"832","2021/10/13","18"
"833","2021/10/15","18"
"834","2021/10/21","18"
"835","2021/10/24","18"
"836","2021/10/27","12"
"837","2021/11/13","18"
"838","2021/12/10","21"
"839","2021/12/15","18"
"840","2021/12/06","00"
"841","2021/03/13","18"
"842","2021/03/17","15"
"843","2021/03/25","15"
"844","2021/03/27","21"
"845","2021/04/27","18"
"846","2021/04/07","21"
"847","2021/05/23","18"
"848","2021/05/26","18"
"849","2021/05/30","18"
"850","2021/05/02","18"
"851","2021/05/03","12"
"852","2021/05/03","21"
"853","2021/05/04","12"
"854","2021/06/26","18"
"855","2021/07/14","18"
"856","2021/07/29","00"
"857","2021/07/29","15"
"858","2021/08/11","18"
"859","2021/08/17","12"
"860","2021/08/28","15"
"861","2021/08/09","18"
"862","2021/09/01","18"
"863","2022/10/29","15"
"864","2022/11/29","21"
"865","2022/11/04","18"
"866","2022/12/13","12"
"867","2022/12/14","15"
"868","2022/01/01","15"
"869","2022/03/21","18"
"870","2022/03/22","15"
"871","2022/03/30","12"
"872","2022/03/05","21"
"873","2022/04/12","21"
"874","2022/04/13","12"
"875","2022/04/29","21"
"876","2022/04/05","12"
"877","2022/04/06","18"
"878","2022/05/12","21"
"879","2022/05/19","18"
"880","2022/05/26","18"
"881","2022/05/27","12"
"882","2022/05/30","15"
"883","2022/05/31","21"
"884","2022/05/02","18"
"885","2022/05/04","21"
"886","2022/06/15","18"
"887","2022/06/24","18"
"888","2022/06/07","18"
"889","2022/06/08","18"
"890","2022/09/27","18"
